K count,K freq,hot K usage,M scroll,M speed,M left count,M right count,W count,W time,volume lvl,Network sent,Network received, label
0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04483, 0.31015, 0
0, 0.0, 0, 107, 32.91481, 8, 0, 0, 0, 0, 0.03646, 0.28539, 1
0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0.05491, 0.29451, 0
1, 0.5, 0, 19, 8.49087, 1, 0, 0, 0, 0, 0.0326, 0.27556, 1
0, 0.0, 0, 87, 2.66747, 24, 0, 0, 0, 0, 0.03888, 0.25323, 1
0, 0.0, 0, 38, 143.24901, 0, 0, 0, 0, 0, 0.03477    , 0.23562, 1
3, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.02799, 0.23701, 0
0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02984, 0.28403, 0
0, 0.0, 0, 18, 0.30188, 3, 0, 0, 0, 0, 0.03373, 0.24836, 1
2, 1.0, 0, 129, 2.61679, 29, 1, 0, 0, 0, 0.0288, 0.23485, 1
9, 4.5, 0, 46, 1.01938, 20, 1, 0, 0, 0, 0.03251, 0.25513, 1
139, 69.5, 0, 89, 6.91381, 14, 0, 0, 0, 0, 0.08016, 0.29298, 1
86, 43.0, 0, 11, 1.40286, 10, 0, 0, 0, 0, 0.14403, 0.33389, 1
4, 2.0, 0, 33, 0.6734, 16, 1, 0, 0, 0, 0.38038, 2.21672, 1
45, 22.5, 0, 18, 0.70316, 29, 2, 0, 0, 0, 0.33035, 3.25149, 1
14, 7.0, 0, 85, 2.07058, 11, 2, 0, 0, 0, 0.43466, 7.59336, 1
40, 20.0, 0, 69, 3.18476, 26, 1, 0, 0, 0, 0.14443, 0.87543, 1
15, 7.5, 0, 48, 0.98374, 19, 4, 0, 0, 0, 0.3356, 5.524, 1
16, 8.0, 0, 57, 1.50631, 13, 3, 0, 0, 0, 0.4292, 5.69594, 1
14, 7.0, 0, 80, 1.39735, 17, 0, 0, 0, 0, 0.07348, 0.3638, 1
1, 0.5, 0, 64, 1.90901, 9, 0, 0, 0, 0, 0.03405, 0.29787, 1
2, 1.0, 0, 0, 0, 16, 0, 0, 0, 0, 0.03214, 0.29619, 1
0, 0.0, 0, 13, 217.19766, 0, 0, 0, 0, 0, 0.07423, 0.44869, 0
5, 2.5, 0, 0, 0, 6, 0, 0, 0, 0, 0.123, 0.33235, 1
8, 4.0, 0, 33, 0.91012, 15, 0, 0, 0, 0, 0.03791, 0.25301, 1
34, 17.0, 0, 73, 1.44713, 23, 0, 0, 0, 0, 0.03347, 0.28897, 1
6, 3.0, 0, 91, 1.89672, 18, 0, 0, 0, 0, 0.17184, 0.52098, 0
6, 3.0, 0, 8, 10.94029, 5, 0, 0, 0, 0, 0.1125, 0.43934, 1
138, 69.0, 0, 9, 4.01655, 8, 0, 0, 0, 0, 0.12768, 0.34829, 0
323, 161.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.04783, 0.26415, 0
